name,profile,first_name,last_name,gender,location,about
Aydin Senkut,https://www.linkedin.com/in/aydins,Aydin,Senkut,Male,San Francisco Bay Area,"Aydin is the Founder and Managing Partner of Felicis Ventures. An original “super-angel” investor, he was named to Forbes’ 2014, 2015, 2016, 2017, 2018, 2019, 2020 & 2021 Midas Lists. He was also named among the New York Times’ Top 20 Venture Capital investors in 2016, 2017, 2018 & 2019. Aydin is well-known as an early backer of a number of iconic companies including Adyen, Shopify, Pluralsight, Credit Karma, Fitbit, Rovio, Meraki, Guardant Health and Soundhound. He was the first Product Manager at Google before starting Felicis Ventures.More recent focus areas include HR, security, longevity, mental health & AI powered vertical solutions. He's an avid pilot, skier and tennis player.Specialties: Angel Investing, Early Stage Funding Syndication, Product Management, International Sales & Business Development, Venture Capital, Strategy"
Neil Underwood,https://www.linkedin.com/in/neilunderwood,Neil,Underwood,,"Wilmington, North Carolina, United States","Neil Underwood currently serves as General Partner of Canapi Ventures, a strategic fintech venture fund, and as President of Live Oak Bancshares (LOB), the holding company of Live Oak Bank. While at the bank, he co-founded nCino (NCNO), a cloud-based bank operating system now serving over 1000 financial institutions globally.  Through the venture arm of Live Oak, Underwood helped incubate companies focused on digital bank transformation, including Finxact, Payrailz, DefenseStorm and Greenlight. In 2017, he co-founded Apiture, a joint venture between Live Oak and First Data, serving as a cloud-native omni-channel onboarding and servicing platform.  Underwood currently serves on the board of Live Oak Bank, Greenlight, Notarize, Defense Storm, Apiture, Payrailz, Posh and Able.  Previous board or board observer seats include: Blend and Finxact.  A native of Miami, FL, he holds a Bachelor's Degree of Science in Industrial Engineering from the Georgia Institute of Technology."
Charles Birnbaum,https://www.linkedin.com/in/charlesbirnbaum,Charles,Birnbaum,,"New York, New York, United States",
Ross Fubini,https://www.linkedin.com/in/fubini,Ross,Fubini,Male,"San Francisco, California, United States","I'm an engineer, company founder, and early stage technology investor.I run an investment fund and focus on making significant ideas scale up. Happily, this means I get to work with amazing people who build products indistinguishable from magic.My super power is connecting people."
Jake Flomenberg,https://www.linkedin.com/in/jacobflomenberg,Jake,Flomenberg,,"Menlo Park, California, United States","Partner at Wing interested in ""AI"" powered applications, security, cloud infrastructure, and data analytics"
Krishnakumar Natarajan,https://www.linkedin.com/in/krishnakumarnatarajan,Krishnakumar,Natarajan,,"Bengaluru, Karnataka, India","- Building a Global services  and SaaS business-Experience in starting and growing a business- Goals- To build a globally admired companies delivering substantive business impact using Digital technologies.- Using Digital technologies to solve Social problems on scale- Helping create World Class Entrepreneurial teams from IndiaSpecialties: Globalization, Building large accounts, Building great teams and leadershipInvest & mentor budding entrepreneurs to build scalable and successful businesses."
Liran Grinberg,https://www.linkedin.com/in/lirangr,Liran,Grinberg,,Israel,"Liran Grinberg is a Co-Founder & Managing Partner at Team8, a venture group with over $500M AUM across funds, growing to $1B this year, from LP investors such as Microsoft, Walmart, Barclays, AT&T, Moody’s, Cisco, Qualcomm, Accenture, Softbank and Temasek. The group incubates and invests in early stage companies, bringing deep domain expertise in cybersecurity, fintech, digital health, enterprise software and IT infrastructure. Liran co-founded Team8 in 2014, initially focusing on the design of its incubation (venture studio) model. He worked closely with founding teams on the ideation of Team8’s first companies, including Curv (acquired by PayPal), Portshift (acquired by Cisco), Sygnia (acquired by Temasek for $250M), Hysolate (acquired by Perception Point), and Claroty (now a unicorn backed with $635M in funding).Liran then transitioned to build and lead Team8’s Go-to-Market Group across its marketing, business development and business research & strategy functions, alongside the formation of the “Team8 Village,” a tightknit community of  hundreds of C-level executives from the world’s leading enterprises. Combined, the two initiatives have become a powerful and differentiated advantage of Team8 in accelerating the success of its portfolio companies.Liran is focusing his time on cybersecurity, enterprise software & IT infrastructure investments, and is currently a board director of Akeyless (secrets management), Cyberpion (external attack surface management) and Monogoto (IoT and private networks/5G connectivity), and observes the boards of Claroty (IoT & industrial OT security), Talon (secure browser), Illusive (identity risk management) and Hysolate (zero trust endpoints).Prior to co-founding Team8, Liran led the flagship product at fintech unicorn eToro as well as the API and developers platforms for publisher engagement unicorn Conduit. He began his career by serving as a distinguished officer in the cyber and data division of Israel’s elite military and technology intelligence unit 8200. Liran is a member of YPO (Young Presidents’ Organization), has been selected by Forbes for its ’30 Under 30′ list as well as by The Marker, Israel’s leading financial magazine, for its ‘40 Under 40 Promising Young People’ list. He holds a B.Sc. in Computer Science from the Academic College of Tel-Aviv."
Keith Hamlin,https://www.linkedin.com/in/keith-hamlin-4923806,Keith,Hamlin,,"New York, New York, United States",
Gopi Vaddi,https://www.linkedin.com/in/gopi-vaddi-854201,Gopi,Vaddi,,United States,"Investor, partner and advisor to entrepreneurs disrupting the technology industry.  Two decades of global and cross-cultural principal investing and operating experience. Current and former investments led include Redis Labs, Devo, Spryker, Dream Sports, DarwinBox, FarEye, AiDoc, Ankorstore, Talend, Arcoro (HCM software), ThreatConnect, Conversica, Untangle (sold to Arista), Chatmeter, Patron, OpusCapita, LogicMonitor (sold majority to Vista) and Anju Software (sold to Abry).MBA (Palmer Scholar) from The Wharton School of Business, MS and BS degrees with honors in Electrical and Computer Engineering."
Vidhi Vijayvargiya,https://www.linkedin.com/in/vidhivijayvargiya,Vidhi,Vijayvargiya,,"Mumbai, Maharashtra, India","Transaction banking professional with over 17 years of experience in trade products, specializing in supply chain. Cross functional experience across sales, product management and operations. Recently joined alternate investment/venture capital space as Partner in 1Crowd."
Johan Wolf,https://www.linkedin.com/in/johan-wolf-6554ba,Johan,Wolf,,Greater Stockholm Metropolitan Area,
Masato Shimodaira,https://www.linkedin.com/in/masato-shimodaira-43bb62ba,Masato,Shimodaira,,"Tokyo, Tokyo, Japan",ベンチャーキャピタリストとしてベンチャー投資、ファンドレイズ、投資先の経営支援に従事。投資先の社外取締役を複数社兼務。弁護士として法律事務所勤務、LINEのリーガルカウンセル、LINEでの新規事業開発を経て、ドリームインキュベータに参画。同社の1号ファンドとなるDIMENSION を立ち上げる。
K.P. Reddy,https://www.linkedin.com/in/kpreddy,K.P.,Reddy,,"Atlanta, Georgia, United States","<if you reach out, pls have an “ask”..typically happy to help or point you to someone in my org that can help, in full disclosure one of my Analysts triages my LinkedIn account. Please be clear in your message.>Before you reach out, check out shadow.vc to make sure my counsel is a fit.Founded by serial entrepreneur and investor KP Reddy, the mission of Shadow Ventures is to invest in seed-stage companies that are led by dynamic entrepreneurs focused on changing tech-nascent industries with disruptive technologies.My best seller ""What You Know About Startups Is Wrong: How to Navigate Entrepreneurial Urban Legends That Threaten Your Relationships, Your Health, Your Finances, and Your Career "" is available on Amazon."
Tetsuya Nakashima,https://www.linkedin.com/in/nakashima512,Tetsuya,Nakashima,,"Tokyo, Tokyo, Japan",
Dave Sack,https://www.linkedin.com/in/davesack,Dave,Sack,,"New York, New York, United States",
Shumpei Fukui,https://www.linkedin.com/in/shumpei-fukui-35874a26,Shumpei,Fukui,,"Tokyo, Tokyo, Japan",Venture Capitalist Specializing in B2B Tech World.
Merav Weinryb,https://www.linkedin.com/in/merav-weinryb-00332,Merav,Weinryb,,Israel,
Michael Nicklas,https://www.linkedin.com/in/michaelnicklas,Michael,Nicklas,,"Rio de Janeiro, Rio de Janeiro, Brazil","Investor, entrepreneur, technologist and strategist with proven experience leading large-scale, high-visibility internet projects and investments. Demonstrated ability to identify new technologies and implement emerging business models. He has helped companies including Viacom, Univision, IBM, Nielsen and Disney develop and deploy strategic technology initiatives. Investor with with experience and focus on Latin American technology companies.Specialties: Semantic web, taxonomies, metadata, community tools, social media, opensocial, open source, digital video, apml, attention metatdata, profiling, open-data, privacy, Latin America, Brazil."
Laith Zraikat,https://www.linkedin.com/in/laithz,Laith,Zraikat,,United Arab Emirates,Venture Capitalist. Product guy. UX designer. Full stack web developer. iOS developer. Detail oriented. Picky.Endeavor Entrepreneur (http://endeavor.org/)
Holger Staude,https://www.linkedin.com/in/holger-staude-93134516,Holger,Staude,,"New York, New York, United States",
Tommy Teo,https://www.linkedin.com/in/tommyzteo,Tommy,Teo,,Singapore,
Thomas Gieselmann,https://www.linkedin.com/in/gieselmann,Thomas,Gieselmann,Male,"San Francisco, California, United States",Tom co-founded Headline in 1998.
